,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-class
147,36,2,108293,11,9,6,7,4,4,1,0,0,24,0,0
148,64,2,181232,1,7,2,2,0,4,0,0,2179,40,0,0
150,47,1,186009,15,10,0,0,4,4,1,0,0,38,4,0
151,34,2,198183,11,9,4,0,1,4,1,0,0,40,0,0
152,33,2,163003,9,13,4,3,2,1,1,0,0,40,11,0
153,21,2,296158,11,9,4,2,3,4,0,0,0,35,0,0
155,48,2,187715,11,9,2,2,0,4,0,0,0,46,0,0
156,23,2,214542,9,13,4,5,1,4,0,0,0,40,0,0
157,71,4,494223,15,10,5,11,4,2,0,0,1816,2,0,0
158,29,2,191535,11,9,0,2,1,4,0,0,0,60,0,0
159,42,2,228456,9,13,5,7,2,2,0,0,0,50,0,0
161,25,2,252752,11,9,4,7,4,4,1,0,0,40,0,0
162,44,3,78374,12,14,0,3,4,1,1,0,0,40,0,0
163,28,2,88419,11,9,4,3,1,1,1,0,0,40,7,0
164,45,4,201080,12,14,2,11,0,4,0,0,0,40,0,1
165,36,2,207157,15,10,0,7,4,4,1,0,0,40,4,0
166,39,0,235485,7,12,4,3,1,4,0,0,0,42,0,0
167,46,5,102628,12,14,6,10,4,4,0,0,0,40,0,0
168,18,2,25828,1,7,4,5,3,4,0,0,0,16,0,0
169,66,1,54826,8,11,6,9,1,4,1,0,0,20,0,0
170,27,2,124953,11,9,4,7,1,4,0,0,1980,40,0,0
171,28,5,175325,11,9,2,10,0,4,0,0,0,40,0,0
172,51,2,96062,15,10,2,11,0,4,0,0,1977,40,0,1
173,27,2,428030,9,13,4,2,1,4,0,0,0,50,0,0
174,28,5,149624,9,13,2,9,0,4,0,0,0,40,0,1
175,27,2,253814,11,9,3,11,4,4,1,0,0,25,0,0
176,21,2,312956,11,9,4,2,3,2,0,0,0,40,0,0
177,34,2,483777,11,9,4,5,1,2,0,0,0,40,0,0
178,18,2,183930,11,9,4,7,3,4,0,0,0,12,0,0
179,33,2,37274,9,13,2,9,0,4,0,0,0,65,0,0
180,44,1,181344,15,10,2,3,0,2,0,0,0,38,0,1
181,43,2,114580,15,10,0,0,1,4,1,0,0,40,0,0
182,30,2,633742,15,10,4,2,1,2,0,0,0,45,0,0
183,40,2,286370,5,4,2,6,0,4,0,0,0,40,4,1
184,37,0,29054,15,10,2,0,0,4,0,0,0,42,0,1
185,34,2,304030,11,9,2,0,0,2,0,0,0,40,0,0
186,41,4,143129,9,13,0,3,1,4,1,0,0,40,0,0
188,31,2,99928,12,14,2,9,5,4,1,0,0,50,0,0
189,58,5,109567,10,16,2,9,0,4,0,0,0,1,0,1
190,38,2,155222,15,10,0,6,1,2,1,0,0,28,0,0
191,24,2,159567,15,10,2,6,0,4,0,0,0,40,0,0
192,41,1,523910,9,13,2,2,0,2,0,0,0,40,0,0
193,47,2,120939,15,10,2,12,0,4,0,0,0,45,0,0
194,41,0,130760,9,13,2,12,0,4,0,0,0,24,0,0
195,23,2,197387,4,3,2,13,2,4,0,0,0,40,4,0
196,36,2,99374,15,10,0,2,1,4,0,0,0,40,0,0
197,40,0,56795,12,14,4,3,1,4,1,14084,0,55,0,1
198,35,2,138992,12,14,2,9,2,4,0,7298,0,40,0,1
199,24,4,32921,11,9,4,11,1,4,0,0,0,40,0,0
200,26,2,397317,12,14,4,9,1,4,1,0,1876,40,0,0
202,51,2,259323,9,13,2,3,0,4,0,0,0,50,0,1
203,42,1,254817,15,10,4,9,1,4,1,0,1340,40,0,0
204,37,5,48211,11,9,0,0,4,4,1,0,0,35,0,0
205,18,2,140164,1,7,4,11,3,4,1,0,0,40,0,0
206,36,2,128757,9,13,2,7,0,2,0,7298,0,36,0,1
207,35,2,36270,11,9,0,2,1,4,0,0,0,60,0,0
208,58,3,210563,11,9,2,11,5,4,1,15024,0,35,0,1
209,17,2,65368,1,7,4,11,3,4,1,0,0,12,0,0
210,44,1,160943,11,9,2,13,0,2,0,0,0,40,0,0
211,37,2,208358,11,9,2,2,0,4,0,0,0,40,0,1
212,35,2,153790,15,10,4,11,1,0,1,0,0,40,0,0
213,60,2,85815,11,9,2,2,0,1,0,0,0,40,0,0
214,54,3,125417,5,4,2,6,0,4,0,0,0,40,0,1
215,37,2,635913,9,13,4,3,1,2,0,0,0,60,0,1
216,50,2,313321,7,12,0,11,1,4,1,0,0,40,0,0
217,38,2,182609,9,13,2,11,0,4,0,0,0,50,12,0
218,45,2,109434,9,13,2,9,0,4,0,0,0,55,0,0
219,25,2,255004,0,6,4,2,1,4,0,0,0,40,0,0
220,31,2,197860,15,10,2,5,0,4,0,0,0,40,0,0
222,90,2,51744,11,9,4,7,1,2,0,0,2206,40,0,0
223,54,2,176681,11,9,2,0,0,2,0,0,0,20,0,0
224,53,1,140359,13,1,4,6,1,4,1,0,0,35,0,0
225,18,2,243313,11,9,4,11,3,4,1,0,0,40,0,0
227,66,4,167687,11,9,2,4,0,4,0,1409,0,50,0,0
228,75,2,314209,8,11,6,0,1,4,1,0,0,20,13,0
229,65,2,176796,11,9,0,0,1,4,1,0,0,40,0,0
230,35,2,538583,1,7,5,13,1,2,0,3674,0,40,0,0
231,41,2,130408,11,9,0,11,4,2,1,0,0,38,0,0
232,25,2,159732,15,10,4,0,1,4,0,0,0,42,0,0
233,33,2,110978,15,10,0,2,2,3,1,0,0,40,0,0
234,28,2,76714,14,15,4,9,1,4,0,0,0,55,0,1
235,59,5,268700,11,9,2,7,0,4,0,0,0,40,0,0
236,40,5,170525,15,10,4,0,1,4,1,0,0,38,0,0
237,41,2,180138,9,13,2,3,0,4,0,0,0,50,10,1
238,38,1,115076,12,14,2,3,0,4,0,0,0,70,0,1
239,23,2,115458,11,9,4,13,3,4,0,0,0,40,0,0
240,40,2,347890,9,13,2,9,0,4,0,0,0,40,0,1
241,41,4,196001,11,9,2,7,5,4,1,0,0,20,0,0
242,24,5,273905,7,12,2,10,0,4,0,0,0,50,0,0
244,38,2,179488,15,10,0,2,1,4,0,0,1741,40,0,0
246,58,2,236596,11,9,2,0,0,4,0,0,0,45,0,1
247,32,2,183916,11,9,4,7,1,4,1,0,0,34,0,0
248,40,2,207578,7,12,2,12,0,4,0,0,1977,60,0,1
250,41,2,112763,14,15,2,9,5,4,1,0,0,40,0,1
251,42,2,390781,9,13,2,0,5,2,1,0,0,40,0,0
252,59,1,171328,0,6,6,7,4,2,1,0,0,30,0,0
253,19,1,27382,15,10,4,0,3,4,0,0,0,40,0,0
254,58,2,259014,15,10,4,13,1,4,0,0,0,20,0,0
255,42,4,303044,11,9,2,4,0,1,0,0,0,40,14,1
256,20,2,117789,11,9,4,7,3,4,1,0,0,40,0,0
257,32,2,172579,11,9,5,7,1,4,1,0,0,30,0,0
258,45,2,187666,8,11,6,3,1,4,1,0,0,45,0,0
259,50,2,204518,5,4,0,2,1,4,0,0,0,40,0,0
260,36,2,150042,9,13,0,9,3,4,1,0,0,40,0,0
261,45,2,98092,11,9,2,11,0,4,0,0,0,60,0,0
262,17,2,245918,1,7,4,7,3,4,0,0,0,12,0,0
263,59,2,146013,15,10,2,11,0,4,0,4064,0,40,0,0
264,26,2,378322,1,7,2,2,0,4,0,0,0,40,0,0
265,37,3,257295,15,10,2,3,0,1,0,0,0,75,15,1
267,64,2,21174,11,9,2,3,0,4,0,0,0,40,0,1
268,33,2,185480,9,13,4,9,1,4,1,0,0,45,0,0
269,33,2,222205,11,9,2,2,5,4,1,0,0,40,0,1
270,61,2,69867,11,9,2,3,0,4,0,0,0,40,0,1
271,17,2,191260,6,5,4,7,3,4,0,1055,0,24,0,0
272,50,4,30653,12,14,2,4,0,4,0,2407,0,98,0,0
273,27,1,209109,12,14,4,9,3,4,0,0,0,35,0,0
274,30,2,70377,11,9,0,9,3,4,1,0,0,40,0,0
275,43,2,477983,11,9,2,5,0,2,0,0,0,40,0,0
276,44,2,170924,15,10,2,2,0,4,0,7298,0,40,0,1
277,35,2,190174,15,10,4,3,1,4,1,0,0,40,0,0
278,25,2,193787,15,10,4,12,3,4,1,0,0,40,0,0
279,24,2,279472,15,10,2,6,5,4,1,7298,0,48,0,1
280,22,2,34918,9,13,4,9,1,4,1,0,0,15,9,0
281,42,1,97688,15,10,2,2,0,4,0,5178,0,40,0,1
282,34,2,175413,7,12,0,11,4,2,1,0,0,45,0,0
283,60,2,173960,9,13,0,9,1,4,1,0,0,42,0,0
284,21,2,205759,11,9,4,5,3,4,0,0,0,40,0,0
285,57,0,425161,12,14,2,11,0,4,0,15024,0,40,0,1
286,41,2,220531,14,15,2,9,0,4,0,0,0,60,0,1
287,50,2,176609,15,10,0,7,1,4,0,0,0,45,0,0
288,25,2,371987,9,13,4,3,1,4,1,0,0,40,0,0
289,50,2,193884,5,4,2,2,0,4,0,0,0,40,16,0
290,36,2,200352,9,13,2,9,0,4,0,0,0,45,0,0
291,31,2,127595,11,9,0,9,1,4,1,0,0,40,0,0
292,29,1,220419,9,13,4,10,1,4,0,0,0,56,0,0
293,21,2,231931,15,10,4,11,3,4,0,0,0,45,0,0
294,27,2,248402,9,13,4,12,4,2,1,0,0,40,0,0
295,65,2,111095,11,9,2,13,0,4,0,0,0,16,0,0
296,37,3,57424,9,13,0,11,1,4,1,0,0,60,0,0
298,24,2,278130,11,9,4,2,3,4,0,0,0,40,0,0
299,38,2,169469,11,9,0,11,1,4,0,0,0,80,0,0
300,48,2,146268,9,13,2,0,0,4,0,7688,0,40,0,1
301,21,2,153718,15,10,4,7,1,1,1,0,0,25,0,0
302,31,2,217460,11,9,2,13,0,4,0,0,0,45,0,1
303,55,2,238638,11,9,2,11,0,4,0,4386,0,40,0,1
304,24,2,303296,15,10,2,0,5,1,1,0,0,40,17,0
305,43,2,173321,11,9,0,0,1,4,1,0,0,40,0,0
306,26,2,193945,7,12,4,12,1,4,0,0,0,45,0,0
307,46,2,83082,7,12,4,9,1,4,1,0,0,33,0,0
308,35,2,193815,7,12,2,0,0,4,0,0,0,40,0,1
309,41,3,34987,15,10,2,4,0,4,0,0,0,54,0,1
310,26,2,59306,9,13,4,11,1,4,0,0,0,40,0,0
311,34,2,142897,12,14,2,3,0,1,0,7298,0,35,18,1
313,36,4,205607,9,13,0,9,1,2,1,0,0,40,0,1
314,22,2,199698,15,10,4,11,3,4,0,0,0,15,0,0
315,24,2,191954,15,10,4,6,1,4,0,0,0,40,0,0
316,77,4,138714,15,10,2,11,0,4,0,0,0,40,0,0
317,22,2,399087,4,3,2,6,2,4,1,0,0,40,4,0
318,29,2,423158,15,10,4,12,1,4,1,0,0,40,0,0
319,62,2,159841,11,9,6,7,1,4,1,0,0,24,0,0
320,39,4,174308,11,9,2,3,0,4,0,0,0,40,0,0
321,43,2,50356,15,10,2,2,0,4,0,0,1485,50,0,0
322,35,2,186110,11,9,0,13,1,4,0,0,0,45,0,0
323,29,2,200381,1,7,4,3,1,4,1,0,0,40,0,0
324,76,4,174309,12,14,2,2,0,4,0,0,0,10,0,0
325,63,4,78383,11,9,2,4,0,4,0,0,0,45,0,0
327,43,2,187728,15,10,2,9,5,4,1,0,1887,50,0,1
328,58,4,321171,11,9,2,5,0,4,0,0,0,40,0,0
329,66,2,127921,11,9,4,13,1,4,0,2050,0,55,0,0
330,41,2,206565,15,10,4,2,1,2,0,0,0,45,0,0
331,26,2,224563,9,13,4,0,1,4,0,0,0,40,0,0
332,47,2,178686,8,11,4,7,1,4,0,0,0,40,0,0
333,55,1,98545,0,6,2,0,0,4,0,0,0,40,0,0
334,53,2,242606,11,9,2,13,0,4,0,0,0,40,0,0
335,17,2,270942,4,3,4,7,2,4,0,0,0,48,4,0
336,30,2,94235,11,9,4,2,2,4,0,0,0,40,0,0
337,49,2,71195,12,14,4,9,1,4,0,0,0,60,0,0
338,19,2,104112,11,9,4,11,4,2,0,0,0,30,19,0
339,45,2,261192,11,9,2,7,0,2,0,0,0,40,0,0
340,26,2,94936,7,12,4,11,1,4,0,0,0,40,0,0
341,38,2,296478,8,11,2,2,0,4,0,7298,0,40,0,1
342,36,5,119272,11,9,2,10,0,4,0,7298,0,40,0,1
343,33,2,85043,11,9,4,4,1,4,0,0,0,20,0,0
344,22,5,293364,15,10,4,10,3,2,1,0,0,40,0,0
345,43,4,241895,9,13,4,11,1,4,0,0,0,42,0,0
348,56,2,101128,7,12,3,7,1,4,0,0,0,25,10,0
349,31,2,156464,9,13,4,9,3,4,0,0,0,25,0,0
350,33,2,117963,9,13,2,3,0,4,0,0,0,40,0,1
351,26,2,192262,11,9,2,7,0,4,0,0,0,40,0,0
352,33,2,111363,9,13,2,3,0,4,0,0,0,40,0,1
353,46,1,329752,1,7,2,13,0,4,0,0,0,30,0,0
355,38,0,95432,11,9,2,0,0,4,0,0,0,40,0,1
356,65,2,161400,1,7,6,7,4,3,0,0,0,40,0,0
357,40,2,96129,8,11,2,12,0,4,0,0,0,40,0,1
358,42,2,111949,11,9,2,0,5,4,1,0,0,35,0,0
359,26,4,117125,6,5,2,2,0,4,0,0,0,40,20,0
360,36,2,348022,0,6,2,7,5,4,1,0,0,24,0,0
361,62,2,270092,12,14,2,9,0,4,0,0,0,40,0,1
362,43,2,180609,9,13,2,13,0,4,0,0,0,45,0,0
363,43,2,174575,9,13,0,3,1,4,0,0,1564,45,0,1
364,22,2,410439,11,9,3,11,1,4,0,0,0,55,0,0
365,28,2,92262,11,9,2,2,0,4,0,0,0,40,0,0
366,56,4,183081,15,10,2,11,0,4,0,0,0,45,0,0
367,22,2,362589,7,12,4,11,1,4,1,0,0,15,0,0
368,57,2,212448,9,13,0,3,1,4,1,0,0,45,0,1
369,39,2,481060,11,9,0,11,4,4,1,0,0,40,0,0
370,26,0,185885,15,10,4,0,4,4,1,0,0,15,0,0
371,17,2,89821,1,7,4,7,3,4,0,0,0,10,0,0
372,40,5,184018,8,11,2,6,0,4,0,0,0,38,0,1
373,45,2,256649,11,9,2,6,0,2,0,0,0,40,0,0
374,44,2,160323,11,9,4,2,1,2,0,0,0,40,0,0
375,20,1,350845,15,10,4,0,3,4,1,0,0,10,0,0
376,33,2,267404,11,9,2,2,5,4,1,0,0,40,0,0
377,23,2,35633,15,10,4,11,1,4,0,0,0,40,0,0
378,46,4,80914,12,14,0,3,1,4,0,0,0,30,0,0
379,38,2,172927,11,9,2,11,0,4,0,0,0,50,0,0
380,54,2,174319,11,9,0,13,1,4,0,0,0,40,0,0
381,46,2,214955,4,3,0,2,1,4,1,0,2339,45,0,0
382,25,2,344991,15,10,2,2,0,4,0,0,0,40,0,0
383,46,2,108699,15,10,0,11,1,4,1,0,0,40,0,0
384,36,1,117312,15,10,2,13,5,4,1,0,0,40,0,0
385,23,2,396099,11,9,4,7,1,4,1,0,0,25,0,0
386,29,2,134152,11,9,5,6,1,4,0,0,0,40,0,0
387,44,2,162028,15,10,2,0,5,4,1,0,2415,6,0,1
388,19,2,25429,15,10,4,0,3,4,1,0,0,16,0,0
389,19,2,232392,11,9,4,7,2,4,1,0,0,40,0,0
390,35,2,220098,11,9,2,7,5,4,1,0,0,40,0,1
391,27,2,301302,9,13,4,2,1,4,0,0,0,50,0,0
392,46,4,277946,7,12,5,2,1,4,0,0,0,40,0,0
394,34,2,196164,11,9,4,7,1,4,1,0,0,35,0,0
395,44,2,115562,15,10,2,12,0,4,0,0,0,40,0,0
396,45,2,96975,15,10,0,5,4,4,1,0,0,40,0,0
398,25,2,86872,9,13,2,3,0,4,0,0,0,55,0,1
399,52,3,132178,9,13,2,3,0,4,0,0,0,50,0,1
400,20,2,416103,15,10,4,5,3,4,0,0,0,40,0,0
401,28,2,108574,15,10,4,7,1,4,1,0,0,40,0,0
402,50,5,288353,9,13,2,10,0,4,0,0,0,40,0,1
403,34,2,227689,8,11,0,12,1,4,1,0,0,64,0,0
404,28,2,166481,5,4,2,5,0,3,0,0,2179,40,5,0
405,41,2,445382,12,14,2,3,0,4,0,0,1977,65,0,1
406,28,2,110145,11,9,2,0,0,4,0,0,0,40,0,0
407,46,4,317253,11,9,2,2,0,4,0,0,0,25,0,0
409,32,2,364657,15,10,2,3,0,4,0,0,0,50,0,0
410,41,1,42346,15,10,0,7,1,2,1,0,0,24,0,0
411,24,2,241951,11,9,4,5,4,2,1,0,0,40,0,0
412,33,2,118500,15,10,0,3,4,4,1,0,0,40,0,0
413,46,2,188386,10,16,2,3,0,4,0,15024,0,60,0,1
414,31,5,1033222,15,10,2,6,0,4,0,0,0,40,0,0
415,35,2,92440,2,8,0,2,1,4,0,0,0,50,0,1
416,52,2,190762,3,2,2,6,0,4,0,0,0,40,4,0
417,30,2,426017,1,7,4,7,3,4,1,0,0,19,0,0
418,34,1,243867,1,7,5,6,1,2,0,0,0,40,0,0
419,34,5,240283,11,9,0,13,4,4,1,0,0,40,0,0
420,20,2,61777,15,10,2,11,0,4,0,0,0,30,0,0
421,17,2,175024,1,7,4,5,3,4,0,2176,0,18,0,0
422,32,5,92003,9,13,2,3,5,4,1,0,0,40,0,1
423,29,2,188401,11,9,0,4,1,4,0,0,0,40,0,0
424,33,2,228528,0,6,4,2,4,4,1,0,0,35,0,0
425,25,2,133373,11,9,2,13,0,4,0,0,0,60,0,0
426,36,0,255191,12,14,4,9,1,4,0,0,1408,40,0,0
427,23,2,204653,11,9,4,5,1,4,0,0,0,72,21,0
428,63,3,222289,11,9,2,3,0,4,0,0,0,40,0,1
429,47,1,287480,12,14,2,9,0,4,0,0,0,40,0,0
432,40,4,204116,9,13,3,9,1,4,1,2174,0,40,0,0
433,30,2,29662,7,12,2,7,5,4,1,0,0,25,0,1
434,27,2,116358,15,10,4,2,3,1,0,0,1980,40,11,0
435,33,2,208405,12,14,2,9,0,4,0,0,0,50,0,1
436,34,1,284843,11,9,4,4,1,2,0,594,0,60,0,0
437,34,1,117018,15,10,4,10,1,4,1,0,0,40,0,0
438,23,2,81281,15,10,2,0,0,4,0,0,0,40,0,0
439,42,1,340148,15,10,2,0,5,4,1,0,0,40,0,0
440,29,2,363425,9,13,4,9,1,4,0,0,0,40,0,0
441,45,2,45857,11,9,0,0,1,4,1,0,0,28,0,0
442,24,0,191073,11,9,4,1,3,4,0,0,0,40,0,0
443,44,2,116632,15,10,2,9,0,4,0,0,0,40,0,1
444,27,2,405855,6,5,4,2,2,4,0,0,0,40,4,0
445,20,2,298227,15,10,4,11,1,4,0,0,0,35,0,0
446,44,2,290521,11,9,6,3,4,2,1,0,0,40,0,0
447,51,2,56915,11,9,2,2,0,0,0,0,0,40,0,0
448,20,2,146538,11,9,2,6,0,4,0,0,0,40,0,0
450,19,2,206399,11,9,4,6,3,2,1,0,0,40,0,0
